gid,dataset,split,image_path,mask_path
les_av_49,les_av,train,data/organized/les_av/images/les_av_49.png,data/organized/les_av/masks/les_av_49.png
les_av_529,les_av,train,data/organized/les_av/images/les_av_529.png,data/organized/les_av/masks/les_av_529.png
les_av_53,les_av,train,data/organized/les_av/images/les_av_53.png,data/organized/les_av/masks/les_av_53.png
les_av_586,les_av,train,data/organized/les_av/images/les_av_586.png,data/organized/les_av/masks/les_av_586.png
fundus_avseg_001_G,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_001_G.png,data/organized/fundus_avseg/masks/fundus_avseg_001_G.png
fundus_avseg_002_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_002_N.png,data/organized/fundus_avseg/masks/fundus_avseg_002_N.png
fundus_avseg_003_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_003_N.png,data/organized/fundus_avseg/masks/fundus_avseg_003_N.png
fundus_avseg_004_D,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_004_D.png,data/organized/fundus_avseg/masks/fundus_avseg_004_D.png
fundus_avseg_005_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_005_N.png,data/organized/fundus_avseg/masks/fundus_avseg_005_N.png
fundus_avseg_006_A,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_006_A.png,data/organized/fundus_avseg/masks/fundus_avseg_006_A.png
fundus_avseg_008_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_008_N.png,data/organized/fundus_avseg/masks/fundus_avseg_008_N.png
fundus_avseg_009_D,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_009_D.png,data/organized/fundus_avseg/masks/fundus_avseg_009_D.png
fundus_avseg_011_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_011_N.png,data/organized/fundus_avseg/masks/fundus_avseg_011_N.png
fundus_avseg_012_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_012_N.png,data/organized/fundus_avseg/masks/fundus_avseg_012_N.png
fundus_avseg_013_A,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_013_A.png,data/organized/fundus_avseg/masks/fundus_avseg_013_A.png
fundus_avseg_014_D,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_014_D.png,data/organized/fundus_avseg/masks/fundus_avseg_014_D.png
fundus_avseg_015_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_015_N.png,data/organized/fundus_avseg/masks/fundus_avseg_015_N.png
fundus_avseg_017_G,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_017_G.png,data/organized/fundus_avseg/masks/fundus_avseg_017_G.png
fundus_avseg_020_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_020_N.png,data/organized/fundus_avseg/masks/fundus_avseg_020_N.png
fundus_avseg_021_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_021_N.png,data/organized/fundus_avseg/masks/fundus_avseg_021_N.png
fundus_avseg_023_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_023_N.png,data/organized/fundus_avseg/masks/fundus_avseg_023_N.png
fundus_avseg_025_G,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_025_G.png,data/organized/fundus_avseg/masks/fundus_avseg_025_G.png
fundus_avseg_026_G,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_026_G.png,data/organized/fundus_avseg/masks/fundus_avseg_026_G.png
fundus_avseg_028_G,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_028_G.png,data/organized/fundus_avseg/masks/fundus_avseg_028_G.png
fundus_avseg_029_D,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_029_D.png,data/organized/fundus_avseg/masks/fundus_avseg_029_D.png
fundus_avseg_031_G,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_031_G.png,data/organized/fundus_avseg/masks/fundus_avseg_031_G.png
fundus_avseg_032_A,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_032_A.png,data/organized/fundus_avseg/masks/fundus_avseg_032_A.png
fundus_avseg_033_G,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_033_G.png,data/organized/fundus_avseg/masks/fundus_avseg_033_G.png
fundus_avseg_034_G,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_034_G.png,data/organized/fundus_avseg/masks/fundus_avseg_034_G.png
fundus_avseg_036_A,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_036_A.png,data/organized/fundus_avseg/masks/fundus_avseg_036_A.png
fundus_avseg_037_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_037_N.png,data/organized/fundus_avseg/masks/fundus_avseg_037_N.png
fundus_avseg_039_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_039_N.png,data/organized/fundus_avseg/masks/fundus_avseg_039_N.png
fundus_avseg_041_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_041_N.png,data/organized/fundus_avseg/masks/fundus_avseg_041_N.png
fundus_avseg_042_A,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_042_A.png,data/organized/fundus_avseg/masks/fundus_avseg_042_A.png
fundus_avseg_043_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_043_N.png,data/organized/fundus_avseg/masks/fundus_avseg_043_N.png
fundus_avseg_045_A,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_045_A.png,data/organized/fundus_avseg/masks/fundus_avseg_045_A.png
fundus_avseg_046_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_046_N.png,data/organized/fundus_avseg/masks/fundus_avseg_046_N.png
fundus_avseg_049_A,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_049_A.png,data/organized/fundus_avseg/masks/fundus_avseg_049_A.png
fundus_avseg_053_A,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_053_A.png,data/organized/fundus_avseg/masks/fundus_avseg_053_A.png
fundus_avseg_054_G,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_054_G.png,data/organized/fundus_avseg/masks/fundus_avseg_054_G.png
fundus_avseg_056_A,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_056_A.png,data/organized/fundus_avseg/masks/fundus_avseg_056_A.png
fundus_avseg_057_A,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_057_A.png,data/organized/fundus_avseg/masks/fundus_avseg_057_A.png
fundus_avseg_058_D,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_058_D.png,data/organized/fundus_avseg/masks/fundus_avseg_058_D.png
fundus_avseg_060_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_060_N.png,data/organized/fundus_avseg/masks/fundus_avseg_060_N.png
fundus_avseg_061_A,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_061_A.png,data/organized/fundus_avseg/masks/fundus_avseg_061_A.png
fundus_avseg_065_A,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_065_A.png,data/organized/fundus_avseg/masks/fundus_avseg_065_A.png
fundus_avseg_066_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_066_N.png,data/organized/fundus_avseg/masks/fundus_avseg_066_N.png
fundus_avseg_067_G,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_067_G.png,data/organized/fundus_avseg/masks/fundus_avseg_067_G.png
fundus_avseg_068_A,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_068_A.png,data/organized/fundus_avseg/masks/fundus_avseg_068_A.png
fundus_avseg_070_G,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_070_G.png,data/organized/fundus_avseg/masks/fundus_avseg_070_G.png
fundus_avseg_072_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_072_N.png,data/organized/fundus_avseg/masks/fundus_avseg_072_N.png
fundus_avseg_075_D,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_075_D.png,data/organized/fundus_avseg/masks/fundus_avseg_075_D.png
fundus_avseg_076_D,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_076_D.png,data/organized/fundus_avseg/masks/fundus_avseg_076_D.png
fundus_avseg_081_D,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_081_D.png,data/organized/fundus_avseg/masks/fundus_avseg_081_D.png
fundus_avseg_082_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_082_N.png,data/organized/fundus_avseg/masks/fundus_avseg_082_N.png
fundus_avseg_083_G,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_083_G.png,data/organized/fundus_avseg/masks/fundus_avseg_083_G.png
fundus_avseg_084_D,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_084_D.png,data/organized/fundus_avseg/masks/fundus_avseg_084_D.png
fundus_avseg_085_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_085_N.png,data/organized/fundus_avseg/masks/fundus_avseg_085_N.png
fundus_avseg_087_D,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_087_D.png,data/organized/fundus_avseg/masks/fundus_avseg_087_D.png
fundus_avseg_088_G,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_088_G.png,data/organized/fundus_avseg/masks/fundus_avseg_088_G.png
fundus_avseg_089_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_089_N.png,data/organized/fundus_avseg/masks/fundus_avseg_089_N.png
fundus_avseg_092_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_092_N.png,data/organized/fundus_avseg/masks/fundus_avseg_092_N.png
fundus_avseg_093_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_093_N.png,data/organized/fundus_avseg/masks/fundus_avseg_093_N.png
fundus_avseg_094_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_094_N.png,data/organized/fundus_avseg/masks/fundus_avseg_094_N.png
fundus_avseg_096_D,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_096_D.png,data/organized/fundus_avseg/masks/fundus_avseg_096_D.png
fundus_avseg_097_D,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_097_D.png,data/organized/fundus_avseg/masks/fundus_avseg_097_D.png
fundus_avseg_098_D,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_098_D.png,data/organized/fundus_avseg/masks/fundus_avseg_098_D.png
fundus_avseg_100_N,fundus_avseg,train,data/organized/fundus_avseg/images/fundus_avseg_100_N.png,data/organized/fundus_avseg/masks/fundus_avseg_100_N.png
